"","tribe","six_letter_name_Ronco","mean_total_day","mean_total_night","mean_absolute_total_day","mean_absolute_total_night","mean_freq_day","mean_freq_night","mean_bout_length_day","mean_bout_length_night","mean_longest_bout_day","mean_longest_bout_night","mean_abs_longest_day","mean_abs_longest_night","mean_sfi_day","mean_sfi_night","mean_cons_day","mean_cons_night","mean_max_cons_day","mean_max_cons_night","mean_abs_cons_day","mean_abs_cons_night","mean_y_day","mean_y_night","pref_freq","pref_bout_length","pref_longest_bout","pref_abs_longest","pref_sfi","pref_cons","pref_max_cons","pref_abs_cons","pref_y","dn_pref","overall_total"
"17","Lamprologini","Chacya",2.34588425925926,0.714027777777778,49021.5,14457,104.366666666667,62.3333333333335,71.6287262933843,37.001344385548,621.466666666666,190.583333333334,1445,408,0.0170460792015611,0.0288229948359714,1.08982714661312,3.68772074809531,7.87317002433912,13.1845010298629,16.7717415915538,19.0583088201958,324.063866811476,677.715399676594,104.366666666667,71.6287262933843,621.466666666666,1445,0.0170460792015611,1.08982714661312,7.87317002433912,16.7717415915538,324.063866811476,0.533301762184521,3.05991203703704
"18","Lamprologini","Juldic",3.24060185185185,5.62818223905724,67317.5454545455,116555.818181818,89.439393939394,73.7787878787879,142.577125746302,421.000705576915,1145.95454545455,3377.69393939394,2411.45454545455,5604.45454545455,0.0123780427648655,0.00813387819344723,1.16162682752394,1.75527092321162,9.52862265174827,14.3273215421727,19.6950254245413,24.6983722955487,568.509538109354,550.817228826317,73.7787878787879,421.000705576915,3377.69393939394,5604.45454545455,0.00813387819344723,1.75527092321162,14.3273215421727,24.6983722955487,550.817228826317,0.269211693816379,8.86878409090909
"19","Lamprologini","Julmrk",4.96486368312757,5.96179526748971,104496.444444444,127398.777777778,107.453703703704,118.583333333333,198.399622437575,214.672608112313,1672.78703703704,2026.99074074074,3710.11111111111,4319.11111111111,0.00989909961975394,0.00790216441848283,1.07907712101883,0.981806663416052,8.81778937857389,9.11171640906492,19.5377824829433,19.4503835070255,662.950074396301,688.000121432619,118.583333333333,214.672608112313,2026.99074074074,4319.11111111111,0.00790216441848283,0.981806663416052,9.11171640906492,19.4503835070255,688.000121432619,0.0912384644627185,10.9266589506173
"20","Lamprologini","Julorn",4.11726767676768,7.28936531986532,86573.9090909091,154654.818181818,93.4484848484848,70.9575757575758,196.836004238408,892.538054087664,2109.9,5436.38181818182,4250.09090909091,9091.90909090909,0.0094960192163132,0.00361169898885167,1.2599254297412,2.8539737217939,12.5178943364277,18.992219706994,25.3004020196289,32.1869679984606,577.441742209033,546.515098639026,70.9575757575758,892.538054087664,5436.38181818182,9091.90909090909,0.00361169898885167,2.8539737217939,18.992219706994,32.1869679984606,546.515098639026,0.278092373449201,11.406632996633
"21","Lamprologini","Lamoce",6.41117798353909,4.8783487654321,138481.444444444,105372.333333333,96.2222222222223,82.3518518518518,503.05938818589,434.439453650753,4028.48148148148,4658.25925925926,9548.44444444445,14074,0.00617586293221691,0.0118251497355454,1.98739355574421,2.08163910680602,16.3517118813835,24.6235346738783,39.5376795664494,85.217894283797,688.53218628971,701.326838271306,96.2222222222223,503.05938818589,4028.48148148148,9548.44444444445,0.00617586293221691,1.98739355574421,16.3517118813835,39.5376795664494,688.53218628971,0.135774444065752,11.2895267489712
"22","Lamprologini","Lamsig",2.90537250712251,11.5456524216524,48152.3076923077,178461.846153846,106.71282051282,14.2089743589744,211.328502549719,15380.1500265362,2514.46153846154,26838.1769230769,7781.07692307692,37109.8461538462,0.0180004024191934,0.000417247797636232,1.44093816996589,35.6815385236791,16.1350608529008,63.0417947905142,46.5633208712725,88.4792788078184,687.204379276234,695.519568191439,14.2089743589744,15380.1500265362,26838.1769230769,37109.8461538462,0.000417247797636232,35.6815385236791,63.0417947905142,88.4792788078184,695.519568191439,0.59790083797623,14.4510249287749
"23","Lamprologini","Lepatt",3.94898981481481,5.37323888888889,83399.2,112851.6,90.0033333333334,80.1633333333333,165.008913599204,384.144630677108,1584.89,2627.07,3412,5800.2,0.00887574654605503,0.0118891447362835,1.20596135622581,1.74286546588289,11.0547721804097,11.9406579292495,23.1406679042171,27.0116565000117,595.13630237307,687.362464410848,80.1633333333333,384.144630677108,2627.07,5800.2,0.0118891447362835,1.74286546588289,11.9406579292495,27.0116565000117,687.362464410848,0.152779889803414,9.3222287037037
"24","Lamprologini","Lepelo",4.93058641975309,6.41132330246913,106500.666666667,138484.583333333,83.9861111111111,85.3888888888889,246.661322280461,406.044319478373,2223.05555555556,2687.75,4736.58333333333,5067.75,0.00601910808459082,0.00509642797193118,1.38860726701539,1.59922097666786,12.4273834919715,10.7968411983753,26.3781210291286,21.4900725426046,624.96061410479,695.724396716404,85.3888888888889,406.044319478373,2687.75,5067.75,0.00509642797193118,1.59922097666786,10.7968411983753,21.4900725426046,695.724396716404,0.130554458550736,11.3419097222222
"25","Lamprologini","Neobre",7.96931649831649,5.54140909090909,153525.181818182,105324.090909091,66.6348484848485,66.4969696969697,5071.43607957475,563.665345460197,10402.9606060606,6418.14393939394,20360.7272727273,16897.4545454545,0.00378712773238547,0.00757738258804235,14.2666416669369,2.85151476946478,31.6491921168809,31.5131395037474,63.2484926386868,84.8680899382761,648.921741208059,695.372694762898,66.6348484848485,5071.43607957475,10402.9606060606,20360.7272727273,0.00378712773238547,14.2666416669369,31.6491921168809,63.2484926386868,648.921741208059,0.179702221866129,13.5107255892256
"26","Lamprologini","Neobri",1.28670216049383,3.50184259259259,25496.75,73158.1666666667,54.1847222222222,89.2777777777778,64.1022025239406,127.978246123982,414.9875,1130.13055555556,1216.66666666667,2313.41666666667,0.0385626159015485,0.017088484712677,3.29709046948581,1.36678614961776,11.463397316497,9.63957681306032,27.6589959682213,21.0475392789754,323.82656129016,568.301561493897,89.2777777777778,127.978246123982,1130.13055555556,2313.41666666667,0.017088484712677,1.36678614961776,9.63957681306032,21.0475392789754,568.301561493897,0.462591569321977,4.78854475308642
"27","Lamprologini","Neobue",0.553128086419753,5.33519367283951,11625.0833333333,112784.083333333,26.7097222222222,159.322222222222,58.6031967977169,140.749823375409,346.209722222222,906.508333333333,923.25,1565.91666666667,0.0308943826950697,0.0101128204254158,5.47912458826629,0.70223577461805,22.8934681087148,4.44481848437608,63.5848260061273,7.75235928823005,588.133906809406,660.201626648008,159.322222222222,140.749823375409,906.508333333333,1565.91666666667,0.0101128204254158,0.70223577461805,4.44481848437608,7.75235928823005,660.201626648008,0.812127085090087,5.88832175925926
"28","Lamprologini","Neocau",5.54993055555556,4.78765509259259,118901,102393.25,79.0041666666667,92.6916666666666,2565.62702341173,293.028934327601,4819.125,2639.9375,13307.25,5597.875,0.0106121294222704,0.0123005604742919,9.49348236427087,1.44151946040848,20.4152744785949,13.961410611572,55.3168764104501,32.6420461940289,638.237986201114,669.434201714253,79.0041666666667,2565.62702341173,4819.125,13307.25,0.0106121294222704,9.49348236427087,20.4152744785949,55.3168764104501,638.237986201114,0.0737382488433859,10.3375856481481
"29","Lamprologini","Neocra",2.62422222222222,5.24333754208754,55033.9090909091,109365.727272727,72.0969696969697,107.281818181818,139.124041726124,212.491158991466,950.484848484848,2089.55151515152,3010,4269.90909090909,0.0185494037415115,0.00971603675354012,1.38120623682318,1.06848065464013,8.74633123535301,10.2088714942669,24.8873316242813,21.6240187756534,408.131647933402,622.955317437806,107.281818181818,212.491158991466,2089.55151515152,4269.90909090909,0.00971603675354012,1.06848065464013,10.2088714942669,21.6240187756534,622.955317437806,0.332900594126608,7.86755976430976
"30","Lamprologini","Neocyg",4.15023148148148,4.45934027777778,89645,96321.75,123.083333333333,108.319444444445,155.756817206708,183.788464035292,1352.77777777778,1272.47222222222,3555.08333333333,2703.33333333333,0.013128318840345,0.0100198620854883,0.979783031569971,1.05147813789801,8.87689797210306,7.22144994745686,24.0464796252636,15.65982595806,431.468926614874,471.116771895191,108.319444444445,183.788464035292,1272.47222222222,2703.33333333333,0.0100198620854883,1.05147813789801,7.22144994745686,15.65982595806,471.116771895191,0.0359029235064869,8.60957175925926
