"","six_letter_name_Ronco","total_rest","peak_amplitude","peak","day_night_dif","cluster","peak_dawn","peak_dusk"
"22","Lepelo",12.6891666666667,15.1760416666667,0.763888888888889,0.200764254098336,4,0.869047619047619,0.488095238095238
"23","Limdar",2.05,8.95702380952381,0.547619047619048,-0.0125838753196626,7,0.448979591836735,0.63265306122449
"24","Loblab",3.97,18.5454166666667,0.916666666666667,0.180905172094673,7,0.928571428571429,0.785714285714286
"25","Neobre",14.6090909090909,10.1418181818182,0.507575757575758,-0.219000876181559,1,0.597402597402597,0.298701298701299
"26","Neobri",5.45833333333333,10.6138194444444,0.625,0.211540563070942,7,0.75,0.380952380952381
"27","Neobue",6.64,10.8259722222222,0.805555555555555,0.502286023934377,7,0.630952380952381,0.726190476190476
"28","Neocau",12.625,6.85958333333333,0.416666666666667,-0.0586431039545049,4,0.535714285714286,0.160714285714286
"29","Neocra",9.28454545454545,4.53212121212121,0.378787878787879,0.240455439240881,7,0.441558441558442,0.25974025974026
"30","Neocyg",10.4458333333333,4.74,0.333333333333333,0.0267667506546704,2,0.285714285714286,0.226190476190476
"31","Neocyl",4.97583333333333,4.08555555555556,0.493055555555555,-0.14918083311591,1,0.214285714285714,0.595238095238095
"32","Neodev",5.98,14.4245833333333,0.819444444444445,0.135757977745364,11,0.821428571428571,0.678571428571428
"33","NeofaM",11.5833333333333,4.74027777777778,0.398148148148148,0.246884411804972,7,0.634920634920635,0.0952380952380952
"34","Neofal",4.84666666666667,10.1888888888889,0.652777777777778,-0.0147231536472266,2,0.642857142857143,0.547619047619048
"35","Neogra",5.4,1.945,0.189393939393939,0.0738610470460486,7,0.0714285714285714,0.154761904761905
"36","Neohel",9.33428571428571,11.6567857142857,0.666666666666667,0.0355696102996433,2,0.673469387755102,0.469387755102041
"37","Neokom",11.4266666666667,13.0901388888889,0.638888888888889,0.037448593805856,2,0.785714285714286,0.333333333333333
"38","Neolon",2.62714285714286,21.2496428571429,0.880952380952381,0.150177557869394,5,0.836734693877551,0.73469387755102
"39","Neomar",6.15857142857143,7.20678571428572,0.630952380952381,0.342595646289189,7,0.673469387755102,0.428571428571429
"40","Neomul",5.07222222222222,13.9310185185185,0.583333333333333,-0.246654767480524,1,0.571428571428571,0.111111111111111
"41","Neonig",4.96166666666667,13.5638194444444,0.736111111111111,-0.21753522967672,1,0.773809523809524,0.511904761904762
"42","Neooli",5.42,11.7640277777778,0.75,-0.156505712734366,2,0.831168831168831,0.506493506493506
"43","Neopul",4.3875,14.5822222222222,0.680555555555555,0.251048105689081,9,0.154761904761905,0.488095238095238
"44","Neosav",10.038,9.8345,0.7,0.268006456019327,7,0.557142857142857,0.628571428571429
"45","Neotoa",4.34636363636364,9.75378787878788,0.606060606060606,-0.380808388159998,1,0.324675324675325,0.74025974025974
"46","Neotre",6.57375,6.874375,0.5625,-0.389686509867068,1,0.571428571428571,0.410714285714286
"47","NeoveS",12.39875,2.22114583333333,0.270833333333333,0.437597850914507,7,0.142857142857143,0.446428571428571
