"","six_letter_name_Ronco","total_rest","peak_amplitude","peak","day_night_dif","cluster","day_night_dif_spd"
"21","Lepatt",10.391,17.6551951024773,0.733333333333333,0.111051667561022,2,-4.137
"22","Lepelo",12.6891666666667,16.0084550064239,0.819444444444445,0.200764254098336,4,1.6125
"23","Limdar",2.05,9.39881795156573,0.571428571428571,-0.0125838753196626,6,3.92285714285714
"24","Loblab",3.97,19.715,1,0.180905172094673,6,6.12
"25","Neobri",5.45833333333333,9.95768121383074,0.652777777777778,0.211540563070942,6,3.09
"26","Neobue",6.64,9.87526908588897,0.854166666666667,0.502286023934377,6,14.5766666666667
"27","Neocau",12.625,8.98416515421635,0.458333333333333,-0.0586431039545049,4,0.0725000000000001
"28","Neocra",9.28454545454545,1.8207025633937,0.424242424242424,0.240455439240881,6,5.02090909090909
"29","Neocyg",10.4458333333333,6.01174307627407,0.4375,0.0267667506546704,2,-1.69416666666667
"30","Neocyl",4.97583333333333,4.92677489158585,0.5,-0.14918083311591,1,-3.2875
"31","Neodev",5.98,15.7639875915421,0.833333333333333,0.135757977745364,10,1.7775
"32","NeofaM",11.5833333333333,3.22001103715578,0.416666666666667,0.246884411804972,6,3.21777777777778
"33","Neofal",4.84666666666667,10.5365138765754,0.652777777777778,-0.0147231536472266,2,-2.73333333333333
"34","Neogra",5.4,0.323349628089136,0.204545454545455,0.0738610470460486,6,1.67090909090909
"35","Neohel",9.33428571428572,12.760821896398,0.702380952380952,0.0355696102996433,2,-0.96
"36","Neokom",11.4266666666667,13.1292976666189,0.680555555555556,0.037448593805856,2,-2.5
"37","Neolon",2.62714285714286,24.1924149152426,0.904761904761905,0.150177557869394,5,0.661428571428572
"38","Neomar",6.15857142857143,6.30841848388472,0.654761904761905,0.342595646289189,6,4.46571428571429
"39","Neonig",4.96166666666667,16.0612530388853,0.819444444444445,-0.21753522967672,1,-12.5183333333333
"40","Neooli",5.42,12.3844495253118,0.791666666666667,-0.156505712734366,2,-2.63636363636364
"41","Neopul",4.3875,15.9468783041122,0.743055555555556,0.251048105689081,8,2.9775
"42","Neosav",10.038,11.8030264253188,0.741666666666667,0.268006456019327,6,1.82
"43","Neotoa",4.34636363636364,9.56363489254045,0.636363636363637,-0.380808388159998,1,-37.5981818181818
"44","Neotre",6.57375,8.15151238885898,0.625,-0.389686509867068,1,-19.47625
"45","NeoveS",12.39875,0.219454881631793,0.34375,0.437597850914507,6,4.11875
"46","Neowal",7.495,12.1405525621212,0.729166666666667,-0.0296089754031583,1,-4.7675
"47","Ophboo",0.819,28.478148019574,0.816666666666667,-0.0460173033973638,1,-22.086
"48","Pcynig",10.7736363636364,8.73928779776089,0.712121212121212,0.100262679072251,4,-0.23
"49","Petpol",4.16909090909091,38.8342782120649,0.825757575757576,0.0732866415765107,2,-2.97181818181818
"50","Telluf",4.76142857142857,12.8748611581261,0.797619047619048,0.0817435131470255,6,22.5978571428571
"51","TelteS",18.5041666666667,9.71790145490774,0.548611111111111,-0.227965887501584,1,-5.3025
"52","Telvit",12.675,0.278445153650902,0.1875,-0.222749056631073,9,-17.2825
"53","Trioto",7.70875,18.9814696846853,0.875,-0.0199295930949572,2,-1.77125
"54","Tromoo",4.37,30.5843999198867,0.833333333333333,0.21836551144646,6,27.0742857142857
"55","Tronig",4.495,19.5846169213882,0.930555555555556,0.377521612267773,6,33.7541666666667
"56","Tylpol",3.1175,18.3447314252756,0.9375,-0.151141145188312,2,-1.6375
"57","Varmoo",8.01571428571429,6.46884463982783,0.345238095238095,-0.0210952410410083,3,-4.85285714285714
"58","Xenbat",13.85375,5.9093836505365,0.2125,-0.152735676229809,1,-6.27375
"59","Xenspi",7.255,9.39522413833169,0.486111111111111,-0.0758171499497094,1,-4.87666666666667
