species,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,day_night_dif,peak,body_PC1,body_PC2,LPJ_PC1,LPJ_PC2,oral_PC1,oral_PC2,d15N,d13C,total_rest
Cphfro,0.16060280702437166,0.02845031708288933,0.03119416310936885,-0.1566341178383981,0.18402256694154373,0.09503132775235013,0.016481190939537316,0.22353008142621286,0.08595361714533856,0.1278136710573587,0.1245290325169503,0.7045454545454548,-0.07711949966633244,-0.015019816184854224,0.005211760091595582,0.004046550465659184,0.004347421290386204,-0.0037413361068788947,6.9809339214,-20.740367881,3.3763636363636365
Cypcol,-0.14512662632505885,0.08079438869255251,-0.03330934357645722,-0.19019738790412807,0.08182456472639461,0.07809804090231638,-0.21399071225085212,-0.06443617469850219,0.34946090203532376,-0.08258558175395532,0.426427342979142,0.4242424242424242,0.05406980786115294,-0.020811792406961883,-0.06300111999535928,0.02410046262960324,0.03751180244166928,0.02204699137152921,6.8536515399999995,-21.633638706999996,11.216363636363637
Cyplep,-0.11623479884392368,0.1432318197876971,-0.004872623971246532,-0.12049367447701342,-0.1279850736431868,0.03641792190358162,0.3001811465832577,-0.06255379057606986,0.2237515290931896,0.1634488075459496,0.1484576838488519,0.3472222222222223,0.06302572783082583,-0.02345497093022445,-0.032317931809930464,0.04885209392708406,0.03653471399661572,0.02288735202180818,6.473919463699998,-22.450108046,10.860833333333332
Enamel,0.02649013297102173,0.10046802596969696,0.3568079081326402,0.16284619915617687,0.2019041662674815,0.0031753302287429556,0.026839475067612445,-0.15009767334324822,0.04728879226782569,0.20841918763749911,0.1150692787040964,0.5075757575757576,0.08685774875389536,0.037124842311046326,-0.05609737487234936,0.005245125065937767,0.014843393923811274,0.01219685668862983,5.9565607114,-19.201374793999996,11.02727272727273
Erecya,-0.16070539324294866,0.07387957334743403,0.009276110973450576,0.047225079630794094,-0.18924894197527428,-0.12506483076666242,0.08849181589863814,0.1633020753387301,0.21952586804582508,0.08231766419676345,0.400012510155594,0.8333333333333334,-0.052570512016762314,0.008090921802769836,0.04325065250566446,-0.03464646603666318,-0.003210867490786004,0.0007337317176726024,4.331131317700001,-10.0583058767,11.94
Gnapfe,0.11175537261240434,0.09266359100780862,0.3277115617247438,-0.032013474729376094,-0.0049344691297743635,0.04091101999938022,-0.10448204108556433,-0.07108437807002319,0.08451240894300838,0.018669618894250232,-0.08735346146753033,0.4642857142857144,-0.03930065609822503,-0.022734635373973862,-0.09143814295623574,-0.014724205183872806,0.019675377780323987,0.004012242103898724,6.4887278481,-18.747440855,11.641428571428571
Julmrk,-0.07124387022964451,0.17579664344043275,-0.11472188718793667,0.22005443217724396,0.11968742585842865,-0.01619139119040377,-0.09307883342274817,0.12053304057441053,0.2906021745348175,0.1524301081851797,0.09718364072663394,0.5833333333333334,0.03537598025310698,0.04311495753898309,0.12472854122970775,0.05469784355214138,-0.000878628377437255,0.016816541877426656,6.4999811612,-19.960880287000002,12.586666666666666
Julorn,-0.15232943545941044,0.09213447776640868,-0.07432549318248602,0.12127433246784175,-0.039884349700962766,-0.1939463985469988,0.21583138280265848,-0.012796244750505843,0.12700933357018665,0.056970007167784005,0.2966545921057527,0.5303030303030303,0.04313927784533585,0.042827691596106957,0.1379049652419344,0.060209184374266825,-0.00015661844043696427,0.015709170947323832,6.6854288116,-19.023780325,13.143636363636364
Lamoce,0.1372329331059948,0.12680932192372146,0.19134096963800856,-0.08498058151918657,-0.08248565747452216,0.01126791585658355,0.028294563022868438,-0.08969145777303579,-0.053515245144943296,-0.0547514009695137,-0.13320437798547702,0.5925925925925927,0.0021568035545247387,-0.01610421459784868,0.0074024338964510635,0.03607268210271057,0.008840327783634317,-0.028644492129940802,6.1669585893,-18.842333081,12.741111111111111
Lamsig,-0.1838179018756486,0.02546123524887599,0.018405079815721787,-0.11531014783418946,-0.023626901660543917,-0.019985338629249172,-0.15753783755293094,-0.026373188356084574,0.034637739661723115,-0.01175842517208675,0.7108339541775942,0.16666666666666669,0.0392170804012684,-0.012342454797215264,0.01457962927355067,0.024171595821518142,0.006825303683804874,-0.009070079693387462,5.998212778399999,-20.410208496000003,15.124615384615383
Lepatt,0.07720905498584259,0.19449073622580335,0.06648763510026713,-0.09456069373082614,0.16001656873465947,0.16962393466290887,0.11758938298043775,-0.10439244743775464,-0.059009607282216464,-0.023667345300859455,0.11105166756102162,0.6583333333333333,0.0437710255446169,0.01435431655476414,-0.0188187458389783,0.11022700752177297,-0.007855137024846767,-0.00919583306071671,7.2808319641,-19.944393617,10.391000000000002
