LOC100703257	CLINGEN:C1836050~Filaminopathy, autosomal dominant
fmr1	CLINGEN:C0016667~Fragile X Syndrome
aff2	CLINGEN:C0751157~FRAXE Syndrome
fxn	CLINGEN:C0016719~Friedreich Ataxia
gaa	CLINGEN:C0017921~Glycogen storage disease type II
gaa	CLINGEN:C1968741~Glycogen Storage Disease IIIC
gabrg2	CLINGEN:C0014544~Epilepsy
gamt	CLINGEN:C0574080~Guanidinoacetate methyltransferase deficiency
gata2	CLINGEN:C3280030~GATA2 Deficiency
gata3	CLINGEN:C1840333~Barakat syndrome
gatm	CLINGEN:C2675179~Arginine:Glycine Amidinotransferase Deficiency
LOC100704678	CLINGEN:C0268595~Glutaric aciduria, type 1
LOC100709395	CLINGEN:C3501611~Mental Retardation, X-Linked Nonsyndromic
gdnf	CLINGEN:C1708353~Hereditary Paraganglioma-Pheochromocytoma Syndrome
gla	CLINGEN:C0002986~Fabry Disease
LOC102075906	CLINGEN:C0796154~SIMPSON-GOLABI-BEHMEL SYNDROME, TYPE 1
gldc	CLINGEN:C0751748~Nonketotic Hyperglycinemia
LOC100700186	CLINGEN:C1864910~Glutamine deficiency, congenital
LOC100707702	CLINGEN:C0393706~Early infantile epileptic encephalopathy with suppression bursts
LOC100707702	CLINGEN:C3463992~EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 1
LOC100707702	CLINGEN:C4552072~X-linked infantile spasms
gp1bb	CLINGEN:C0005129~Bernard-Soulier Syndrome
LOC100710205	CLINGEN:C0005129~Bernard-Soulier Syndrome
LOC100697557	CLINGEN:C0796250~PARTINGTON X-LINKED MENTAL RETARDATION SYNDROME
gss	CLINGEN:C0398746~Gluthathione synthetase deficiency
gstz1	CLINGEN:C1291607~Deficiency of maleylacetoacetate isomerase
msh6	CLINGEN:C0265325~Turcot syndrome (disorder)
msh6	CLINGEN:C0346153~Breast Cancer, Familial
msh6	CLINGEN:C1112155~Hereditary non-polyposis colorectal cancer syndrome
msh6	CLINGEN:C1333990~Hereditary Nonpolyposis Colorectal Cancer
msh6	CLINGEN:C4321324~Constitutional Mismatch Repair Deficiency Syndrome
msh6	CLINGEN:C4552100~Lynch Syndrome
LOC100703423	CLINGEN:C3711645~Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency
hadhb	CLINGEN:C1969443~Trifunctional Protein Deficiency With Myopathy And Neuropathy
hadh	CLINGEN:C1291230~3-Hydroxyacyl-CoA Dehydrogenase Deficiency
hgd	CLINGEN:C0002066~Alkaptonuria
hgd	CLINGEN:C2931645~Ochronosis, hereditary
hgf	CLINGEN:C3711374~Nonsyndromic Deafness
hmgcl	CLINGEN:C0268601~HMG CoA lyase deficiency
